,wind_cost_scenario,pv_cost_scenario,h2_tank_cost_scenario,h2_intraday_cost_scenario,investment_solar,investment_wind,investment_storage_gas,investment_storage_liquid,investment_cost,operational_cost,Sol_wind,Sol_pv,Sol_h2_tank,Sol_h2_intraday,operational_cost_1,operational_cost_2,operational_cost_3,operational_cost_4,operational_cost_5,operational_cost_6,operational_cost_7,operational_cost_8,operational_cost_9
0,0,0,-1.0,0,2800000.0,291000000.0,0.0,0.0,293800000.0,8156000.427150972,97.0,7.0,0.0,27.0,115065.57446648105,4985.767952586271,2549074.069268322,108490.03942776394,4745.916023117219,2274964.4968892843,122026.90726042361,5251.216125515403,2971396.4397374787
1,0,0,-0.9,0,0.0,294000000.0,0.0,1919999.9999999995,295920000.0,7376521.309740243,98.0,0.0,0.0,24.0,127459.96008779245,5809.830072921052,2325570.6464193673,127459.96008779248,5809.830072921048,2325570.6464193673,127459.96008779247,5809.830072921051,2325570.6464193678
2,0,0,-0.8,0,0.0,294000000.0,0.0,3839999.999999999,297840000.0,7376521.309740242,98.0,0.0,0.0,24.0,127459.96008779244,5809.830072921051,2325570.6464193673,127459.96008779248,5809.830072921051,2325570.6464193678,127459.96008779248,5809.830072921051,2325570.6464193673
3,0,0,-0.7,0,0.0,294000000.0,0.0,5760000.000000001,299760000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779247,5809.83007292105,2325570.646419368,127459.96008779244,5809.830072921049,2325570.6464193678,127459.96008779247,5809.83007292105,2325570.6464193673
4,0,0,-0.6,0,0.0,294000000.0,0.0,7680000.0,301680000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779245,5809.830072921051,2325570.6464193678,127459.96008779247,5809.83007292105,2325570.6464193673,127459.96008779247,5809.8300729210505,2325570.646419368
5,0,0,-0.5,0,0.0,294000000.0,0.0,9600000.0,303600000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779247,5809.830072921051,2325570.6464193678,127459.96008779245,5809.83007292105,2325570.6464193678,127459.96008779244,5809.8300729210505,2325570.6464193673
6,0,0,-0.4,0,0.0,294000000.0,0.0,11520000.0,305520000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779245,5809.830072921051,2325570.646419368,127459.96008779248,5809.830072921049,2325570.646419368,127459.96008779244,5809.8300729210505,2325570.6464193673
7,0,0,-0.3,0,0.0,294000000.0,0.0,13440000.0,307440000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779245,5809.830072921052,2325570.6464193678,127459.96008779242,5809.830072921052,2325570.6464193678,127459.96008779245,5809.83007292105,2325570.6464193673
8,0,0,-0.2,0,0.0,294000000.0,0.0,15360000.0,309360000.0,7376521.309740242,98.0,0.0,0.0,24.0,127459.96008779251,5809.830072921052,2325570.6464193673,127459.96008779247,5809.830072921051,2325570.6464193673,127459.96008779247,5809.8300729210505,2325570.6464193673
9,0,0,-0.1,0,0.0,294000000.0,0.0,17280000.0,311280000.0,7376521.309740243,98.0,0.0,0.0,24.0,127459.96008779244,5809.830072921052,2325570.6464193678,127459.96008779244,5809.830072921051,2325570.6464193673,127459.96008779242,5809.83007292105,2325570.646419367
10,0,0,0.0,0,0.0,294000000.0,0.0,19200000.0,313200000.0,7376521.309740262,98.0,0.0,0.0,24.0,127459.96008779247,5809.830072921051,2325570.646419376,127459.96008779244,5809.830072921051,2325570.646419373,127459.96008779244,5809.8300729210505,2325570.6464193733
11,0,0,0.1,0,0.0,294000000.0,0.0,21120000.000000004,315120000.0,7376521.309740214,98.0,0.0,0.0,24.0,127459.96008779245,5809.830072921052,2325570.646419375,127459.96008779248,5809.8300729210505,2325570.646419322,127459.96008779245,5809.830072921052,2325570.6464193766
12,0,0,0.2,0,0.0,294000000.0,0.0,23040000.0,317040000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779248,5809.830072921051,2325570.6464193678,127459.96008779247,5809.830072921052,2325570.6464193673,127459.96008779248,5809.8300729210505,2325570.6464193673
13,0,0,0.3,0,0.0,294000000.0,0.0,24960000.0,318960000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779247,5809.830072921054,2325570.6464193678,127459.96008779245,5809.8300729210505,2325570.6464193678,127459.96008779245,5809.830072921051,2325570.6464193673
14,0,0,0.4,0,0.0,294000000.0,0.0,26880000.0,320880000.0,7376521.30974027,98.0,0.0,0.0,24.0,127459.96008779244,5809.830072921052,2325570.6464193766,127459.96008779247,5809.8300729210505,2325570.6464193766,127459.96008779245,5809.830072921051,2325570.6464193766
15,0,0,0.5,0,0.0,294000000.0,0.0,28800000.0,322800000.0,7376521.309740266,98.0,0.0,0.0,24.0,127459.96008779244,5809.830072921052,2325570.6464193743,127459.96008779244,5809.83007292105,2325570.6464193766,127459.9600877925,5809.830072921051,2325570.6464193743
16,0,0,0.6,0,0.0,294000000.0,0.0,30720000.0,324720000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779245,5809.830072921052,2325570.6464193678,127459.96008779245,5809.830072921052,2325570.6464193673,127459.96008779245,5809.830072921052,2325570.6464193673
17,0,0,0.7,0,0.0,294000000.0,0.0,32640000.0,326640000.0,7376521.309740243,98.0,0.0,0.0,24.0,127459.96008779248,5809.830072921052,2325570.6464193678,127459.96008779247,5809.830072921051,2325570.6464193678,127459.96008779245,5809.8300729210505,2325570.646419367
18,0,0,0.8,0,0.0,294000000.0,0.0,34560000.0,328560000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779248,5809.830072921052,2325570.6464193678,127459.96008779248,5809.830072921051,2325570.6464193678,127459.96008779244,5809.8300729210505,2325570.6464193678
19,0,0,0.9,0,0.0,294000000.0,0.0,36480000.0,330480000.0,7376521.309740268,98.0,0.0,0.0,24.0,127459.96008779244,5809.830072921051,2325570.6464193757,127459.96008779248,5809.830072921051,2325570.6464193747,127459.96008779251,5809.8300729210505,2325570.6464193766
20,0,0,1.0,0,0.0,294000000.0,0.0,38400000.0,332400000.0,7376521.309740266,98.0,0.0,0.0,24.0,127459.96008779244,5809.830072921053,2325570.6464193757,127459.96008779244,5809.830072921052,2325570.6464193757,127459.96008779245,5809.830072921051,2325570.6464193757
